scientific_name;common_name;taxon_id;;;;;;;;;
Equisetum sylvaticum;Skov-padderok;118537;;;;;;;;;
Carex sylvatica;Skov-star;69640;;;;;;;;;
Lysimachia europaea;skovstjerne;716947;;;;;;;;;
Oxalis acetosella;Skovsyre;69624;;;;;;;;;
Viola reichenbachiana;Skov-viol;147293;;;;;;;;;
Prunus spinosa;Slåen;55811;;;;;;;;;
Typha angustifolia;Smalbladet dunhammer;60316;;;;;;;;;
Eriophorum angustifolium;Smalbladet kæruld;127215;;;;;;;;;
Dryopteris carthusiana;Smalbladet mangeløv;82564;;;;;;;;;
Thymus serpyllum;Smalbladet timian;322051;;;;;;;;;
Chrysosplenium oppositifolium;Småbladet milturt;69626;;;;;;;;;
Juncus acutiflorus;Spidsblomstret siv;333981;;;;;;;;;
Acer platanoides;Spids-løn;54763;;;;;;;;;
Atriplex prostrata;Spyd-mælde;60176;;;;;;;;;
Viola tricolor;Stedmoderblomst;55739;;;;;;;;;
Geranium robertianum;Stinkende storkenæb;55925;;;;;;;;;
Carex elata;Stiv star;82315;;;;;;;;;
Carex echinata;Stjerne-star;76035;;;;;;;;;
Rabelera holostea;stor fladstjerne;1024536;;;;;;;;;
Centaurea scabiosa;Stor knopurt;84344;;;;;;;;;
Polygonatum multiflorum;Stor konval;57418;;;;;;;;;
Rhinanthus serotinus;Stor skjaller;167803;;;;;;;;;
Agrostis gigantea;Stortoppet hvene;75314;;;;;;;;;
Honckenya peploides;Strandarve;129446;;;;;;;;;
Honckenya peploides;Strandarve;129449;;;;;;;;;
Tripolium pannonicum;Strandasters;170020;;;;;;;;;
Lathyrus japonicus;Strand-fladbælg;77638;;;;;;;;;
Suaeda maritima;Strandgåsefod;169432;;;;;;;;;
Bolboschoenus maritimus;Strand-Kogleaks;58345;;;;;;;;;
Thinopyrum junceum;Strand-Kvik;866524;;;;;;;;;
Crambe maritima;Strandkål;55399;;;;;;;;;
Artemisia maritima;Strandmalurt;503367;;;;;;;;;
Atriplex littoralis;Strand-mælde;159077;;;;;;;;;
Triglochin maritima;Strand-trehage;60264;;;;;;;;;
Plantago maritima;Strand-vejbred;68543;;;;;;;;;
Trifolium striatum;Stribet kløver;79432;;;;;;;;;
Stellaria alsine;Sump-fladstjerne;169330;;;;;;;;;
Galium uliginosum;Sump-snerre;208789;;;;;;;;;
Carex otrubae;Sylt-star;400433;;;;;;;;;
Astragalus glycyphyllos;Sød astragel;158900;;;;;;;;;
Schoenoplectus lacustris;Sø-kogleaks;168628;;;;;;;;;
Potentilla argentea;Sølv-potentil;124552;;;;;;;;;
Vicia tetrasperma;Tadder-vikke;57310;;;;;;;;;
Phragmites australis;Tagrør;64237;;;;;;;;;
Danthonia decumbens;Tandbælg;76603;;;;;;;;;
Cardamine bulbifera;Tandrod;124720;;;;;;;;;
Aira praecox;Tidlig dværgbunke;61058;;;;;;;;;
Ranunculus sceleratus;Tigger-ranunkel;59301;;;;;;;;;
Viscaria vulgaris;Tjærenellike;741459;;;;;;;;;
Vicia hirsuta;Tofrøet vikke;56188;;;;;;;;;
Carex paniculata;Top-star;208495;;;;;;;;;
Carex disticha;Toradet star;159935;;;;;;;;;
Vaccinium oxycoccos;Tranebær;126560;;;;;;;;;
Saxifraga tridactylites;Trekløft-stenbræk;168479;;;;;;;;;
Eriophorum vaginatum;Tue-Kæruld;128735;;;;;;;;;
Carex cespitosa;Tue-star;487827;;;;;;;;;
Bellis perennis;Tusindfryd;55563;;;;;;;;;
Valeriana dioica;Tvebo baldrian;170112;;;;;;;;;
Carex dioica;Tvebo star;437963;;;;;;;;;
Veronica chamaedrys;Tveskægget ærenpris;51610;;;;;;;;;
Veronica beccabunga;Tykbladet ærenpris;54333;;;;;;;;;
Orchis mascula;Tyndakset gøgeurt;132621;;;;;;;;;
Vaccinium vitis-idaea;Tyttebær;56312;;;;;;;;;
Frangula alnus;Tørst;55972;;;;;;;;;
Aira caryophyllea;Udspærret dværgbunke;52694;;;;;;;;;
Cardamine amara;Vandkarse;132481;;;;;;;;;
Mentha aquatica;Vand-mynte;77990;;;;;;;;;
Rumex hydrolapathum;Vand-skræppe;371574;;;;;;;;;
Hedera helix;Vedbend;55882;;;;;;;;;
Veronica hederifolia;Vedbend-Ærenpris;56129;;;;;;;;;
Anthoxanthum odoratum;Vellugtende gulaks;75475;;;;;;;;;
Pinguicula vulgaris;Vibefedt;121266;;;;;;;;;
Anthriscus sylvestris;Vild kørvel;124544;;;;;;;;;
Quercus petraea;Vinter-eg;200942;;;;;;;;;
Betula pendula;Vortebirk;83992;;;;;;;;;
Ficaria verna;Vorterod;204321;;;;;;;;;
Senecio vernalis;Vår-brandbæger;336378;;;;;;;;;
Pulsatilla vernalis;Vår-kobjælde;60905;;;;;;;;;
Carex caryophyllea;Vår-star;159906;;;;;;;;;
Vicia lathyroides;Vår-vikke;79503;;;;;;;;;
Avenella flexuosa;wavy hair-grass;288069;;;;;;;;;
Pteridium aquilinum;Ørnebregne;52681;;;;;;;;;
