"DANSK.NAVN";"LATINSK.NAVN";"Familie";"ID"
"Liden sneglebælg";"Medicago minima";"Fabaceae";"77971"
"Ager-kohvede";"Melampyrum arvense";"Orobanchaceae";"245680"
"Kantet kohvede";"Melampyrum cristatum";"Orobanchaceae";"57494"
"Almindelig kohvede";"Melampyrum pratense";"Orobanchaceae";"60076"
"Nikkende flitteraks";"Melica nutans";"Poaceae";"448134"
"Enblomstret flitteraks";"Melica uniflora";"Poaceae";"450670"
"Vand-mynte";"Mentha aquatica";"Lamiaceae";"77990"
"Bukkeblad";"Menyanthes trifoliata";"Menyanthaceae";"78016"
"Almindelig bingelurt";"Mercurialis perennis";"Euphorbiaceae";"126757"
"Miliegræs";"Milium effusum";"Poaceae";"165390"
"Blåtop";"Molinia caerulea";"Poaceae";"165499"
"Mark-forglemmigej";"Myosotis arvensis";"Boraginaceae";"51726"
"Bakke-forglemmigej";"Myosotis ramosissima";"Boraginaceae";"336671"
"Mark-krageklo";"Ononis spinosa ssp. maritima var. maritima";"Fabaceae";"82730"
"Tyndakset gøgeurt";"Orchis mascula";"Orchidaceae";"132621"
"Skovsyre";"Oxalis acetosella";"Oxalidaceae";"69624"
"Firblad";"Paris quadrifolia";"Trilliaceae";"123666"
"Vild pastinak";"Pastinaca sativa ssp. sylvestris";"Apiaceae";"59778"
"Rørgræs";"Phalaris arundinacea";"Poaceae";"63337"
"Dunbregne";"Phegopteris connectilis";"Thelypteridaceae";"122082"
"Sand-rottehale";"Phleum arenarium";"Poaceae";"166678"
"Glat rottehale";"Phleum phleoides";"Poaceae";"361313"
"Eng-rottehale";"Phleum pratense";"Poaceae";"57190"
"Tagrør";"Phragmites australis";"Poaceae";"64237"
"Rød-gran";"Picea abies";"Pinaceae";"63567"
"Sitka-gran";"Picea sitchensis";"Pinaceae";"68131"
"Håret høgeurt";"Pilosella officinarum";"Asteraceae";"402509"
"Almindelig pimpinelle";"Pimpinella saxifraga";"Apiaceae";"166880"
"Vibefedt";"Pinguicula vulgaris";"Lentibulariaceae";"121266"
"Bjerg-fyr";"Pinus mugo";"Pinaceae";"135727"
"Skov-fyr";"Pinus sylvestris";"Pinaceae";"5872289"
"Fliget vejbred";"Plantago coronopus";"Plantaginaceae";"58960"
"Lancet-vejbred";"Plantago lanceolata";"Plantaginaceae";"53178"
"Glat vejbred";"Plantago major";"Plantaginaceae";"58961"
"Strand-vejbred";"Plantago maritima";"Plantaginaceae";"68543"
"Dunet vejbred";"Plantago media";"Plantaginaceae";"59779"
"Enårig rapgræs";"Poa annua";"Poaceae";"52808"
"Fladstrået rapgræs";"Poa compressa";"Poaceae";"78636"
"Lund-rapgræs";"Poa nemoralis";"Poaceae";"78649"
"Eng-rapgræs";"Poa pratensis ssp. pratensis";"Poaceae";"60307"
"Almindelig rapgræs";"Poa trivialis";"Poaceae";"78657"
"Bitter mælkeurt";"Polygala amarella";"Polygalaceae";"447848"
"Almindelig mælkeurt";"Polygala vulgaris";"Polygalaceae";"167210"
"Stor konval";"Polygonatum multiflorum";"Convallariaceae";"57418"
"Almindelig engelsød";"Polypodium vulgare";"Polypodiaceae";"127079"
"Bævreasp";"Populus tremula";"Salicaceae";"47571"
"Sølv-potentil coll.";"Potentilla argentea coll.";"Rosaceae";"124552"
"Tormentil";"Potentilla erecta";"Rosaceae";"62211"
"Krybende potentil";"Potentilla reptans";"Rosaceae";"167373"
"Fladkravet kodriver";"Primula elatior";"Primulaceae";"55840"
"Hulkravet kodriver";"Primula veris";"Primulaceae";"55819"
"Almindelig brunelle";"Prunella vulgaris";"Lamiaceae";"52764"
"Fugle-kirsebær";"Prunus avium";"Rosaceae";"61964"
"Mirabel";"Prunus cerasifera";"Rosaceae";"55837"
"Almindelig hæg";"Prunus padus";"Rosaceae";"143793"
"Glansbladet hæg";"Prunus serotina";"Rosaceae";"54834"
"Slåen";"Prunus spinosa";"Rosaceae";"55811"
"Ørnebregne";"Pteridium aquilinum";"Dennstaedtiaceae";"52681"
"Strand-annelgræs";"Puccinellia maritima";"Poaceae";"167588"
"Vinter-eg";"Quercus petraea";"Fagaceae";"200942"
"Almindelig eg";"Quercus robur";"Fagaceae";"56133"
"Bidende ranunkel";"Ranunculus acris";"Ranunculaceae";"56064"
"Nyrebladet ranunkel";"Ranunculus auricomus";"Ranunculaceae";"124817"
"Knold-ranunkel";"Ranunculus bulbosus";"Ranunculaceae";"78820"
"Vorterod";"Ranunculus ficaria";"Ranunculaceae";"204321"
"Lav ranunkel";"Ranunculus repens";"Ranunculaceae";"48229"
"Tigger-ranunkel";"Ranunculus sceleratus";"Ranunculaceae";"59301"
"Stor skjaller";"Rhinanthus serotinus";"Orobanchaceae";"167803"
"Hvid næbfrø";"Rhynchospora alba";"Cyperaceae";"57862"
"Brun næbfrø";"Rhynchospora fusca";"Cyperaceae";"167869"
"Rynket rose";"Rosa rugosa";"Rosaceae";"83653"
"Hindbær";"Rubus idaeus";"Rosaceae";"54436"
"Brombær coll.";"Rubus sect. Rubus L.";"Rosaceae";NA
"Almindelig syre";"Rumex acetosa";"Polygonaceae";"55821"
"Rødknæ";"Rumex acetosella";"Polygonaceae";"53195"
"Kruset skræppe";"Rumex crispus";"Polygonaceae";"53197"
"Vand-skræppe";"Rumex hydrolapathum";"Polygonaceae";"371574"
"Butbladet skræppe";"Rumex obtusifolius";"Polygonaceae";"63371"
"Kveller";"Salicornia europaea";"Chenopodiaceae";"203760"
"Krybende pil";"Salix repens ssp. repens var. repens";"Salicaceae";"321283"
